Theta,Distance,Z
0.00,259.00,0
0.18,265.00,0
0.35,266.00,0
0.53,268.00,0
0.71,266.00,0
0.88,270.00,0
1.06,267.00,0
1.24,266.00,0
1.41,266.00,0
1.59,266.00,0
1.77,268.00,0
1.94,268.00,0
2.12,266.00,0
2.30,267.00,0
2.47,270.00,0
2.65,268.00,0
2.83,267.00,0
3.00,267.00,0
3.18,267.00,0
3.36,267.00,0
3.53,264.00,0
3.71,265.00,0
3.89,268.00,0
4.06,268.00,0
4.24,266.00,0
4.42,266.00,0
4.59,267.00,0
4.77,266.00,0
4.95,265.00,0
5.12,266.00,0
5.30,267.00,0
5.48,267.00,0
5.65,266.00,0
5.83,264.00,0
6.01,266.00,0
6.18,266.00,0
6.36,267.00,0
6.54,265.00,0
6.71,266.00,0
6.89,267.00,0
7.07,266.00,0
7.24,266.00,0
7.42,266.00,0
7.60,266.00,0
7.77,266.00,0
7.95,264.00,0
8.13,264.00,0
8.30,266.00,0
8.48,266.00,0
8.66,266.00,0
8.83,265.00,0
9.01,264.00,0
9.19,266.00,0
9.36,266.00,0
9.54,264.00,0
9.72,265.00,0
9.89,266.00,0
10.07,266.00,0
10.25,264.00,0
10.42,265.00,0
10.60,266.00,0
10.78,265.00,0
10.95,264.00,0
11.13,264.00,0
11.31,264.00,0
11.48,266.00,0
11.66,265.00,0
11.84,264.00,0
12.01,264.00,0
12.19,266.00,0
12.37,265.00,0
12.54,267.00,0
12.72,265.00,0
12.89,267.00,0
13.07,267.00,0
13.25,266.00,0
13.42,267.00,0
13.60,266.00,0
13.78,266.00,0
13.95,269.00,0
14.13,266.00,0
14.31,267.00,0
14.48,265.00,0
14.66,266.00,0
14.84,266.00,0
15.01,264.00,0
15.19,267.00,0
15.37,268.00,0
15.54,266.00,0
15.72,266.00,0
15.90,267.00,0
16.07,269.00,0
16.25,267.00,0
16.43,266.00,0
16.60,268.00,0
16.78,266.00,0
16.96,267.00,0
17.13,265.00,0
17.31,268.00,0
17.49,267.00,0
17.66,267.00,0
17.84,264.00,0
18.02,268.00,0
18.19,266.00,0
18.37,266.00,0
18.55,268.00,0
18.72,269.00,0
18.90,270.00,0
19.08,268.00,0
19.25,266.00,0
19.43,267.00,0
19.61,269.00,0
19.78,269.00,0
19.96,269.00,0
20.14,267.00,0
20.31,267.00,0
20.49,268.00,0
20.67,269.00,0
20.84,270.00,0
21.02,270.00,0
21.20,268.00,0
21.37,271.00,0
21.55,269.00,0
21.73,269.00,0
21.90,270.00,0
22.08,270.00,0
22.26,269.00,0
22.43,270.00,0
22.61,269.00,0
22.79,270.00,0
22.96,271.00,0
23.14,269.00,0
23.32,270.00,0
23.49,270.00,0
23.67,268.00,0
23.85,259.00,0
24.02,257.00,0
24.20,252.00,0
24.38,255.00,0
24.55,262.00,0
24.73,261.00,0
24.91,261.00,0
25.08,260.00,0
25.26,262.00,0
25.44,264.00,0
25.61,257.00,0
25.79,259.00,0
25.97,258.00,0
26.14,258.00,0
26.32,257.00,0
26.50,256.00,0
26.67,260.00,0
26.85,259.00,0
27.03,259.00,0
27.20,261.00,0
27.38,264.00,0
27.56,263.00,0
27.73,260.00,0
27.91,264.00,0
28.09,262.00,0
28.26,262.00,0
28.44,261.00,0
28.62,261.00,0
28.79,264.00,0
28.97,260.00,0
29.15,262.00,0
29.32,262.00,0
29.50,266.00,0
29.68,261.00,0
29.85,269.00,0
30.03,272.00,0
30.21,277.00,0
30.38,273.00,0
30.56,279.00,0
30.74,280.00,0
30.91,278.00,0
31.09,280.00,0
31.27,279.00,0
31.44,280.00,0
31.62,280.00,0
31.80,281.00,0
31.97,280.00,0
32.15,280.00,0
32.33,280.00,0
32.50,282.00,0
32.68,283.00,0
32.86,284.00,0
33.03,282.00,0
33.21,282.00,0
33.39,284.00,0
33.56,283.00,0
33.74,282.00,0
33.92,284.00,0
34.09,285.00,0
34.27,282.00,0
34.45,285.00,0
34.62,286.00,0
34.80,287.00,0
34.98,284.00,0
35.15,284.00,0
35.33,285.00,0
35.51,283.00,0
35.68,283.00,0
35.86,279.00,0
36.04,275.00,0
36.21,252.00,0
36.39,248.00,0
36.57,146.00,0
36.74,120.00,0
36.92,65.00,0
37.10,69.00,0
37.27,58.00,0
37.45,51.00,0
37.63,51.00,0
37.80,48.00,0
37.98,44.00,0
38.15,45.00,0
38.33,45.00,0
38.51,38.00,0
38.68,39.00,0
38.86,40.00,0
39.04,42.00,0
39.21,38.00,0
39.39,43.00,0
39.57,37.00,0
39.74,48.00,0
39.92,49.00,0
40.10,49.00,0
40.27,45.00,0
40.45,38.00,0
40.63,39.00,0
40.80,39.00,0
40.98,45.00,0
41.16,38.00,0
41.33,38.00,0
41.51,50.00,0
41.69,45.00,0
41.86,48.00,0
42.04,49.00,0
42.22,48.00,0
42.39,52.00,0
42.57,53.00,0
42.75,52.00,0
42.92,74.00,0
43.10,288.00,0
43.28,304.00,0
43.45,301.00,0
43.63,301.00,0
43.81,305.00,0
43.98,305.00,0
44.16,303.00,0
44.34,305.00,0
44.51,305.00,0
44.69,307.00,0
44.87,307.00,0
45.04,305.00,0
45.22,310.00,0
45.40,307.00,0
45.57,309.00,0
45.75,313.00,0
45.93,308.00,0
46.10,308.00,0
46.28,309.00,0
46.46,310.00,0
46.63,309.00,0
46.81,314.00,0
46.99,313.00,0
47.16,313.00,0
47.34,314.00,0
47.52,315.00,0
47.69,313.00,0
47.87,320.00,0
48.05,315.00,0
48.22,314.00,0
48.40,316.00,0
48.58,319.00,0
48.75,318.00,0
48.93,320.00,0
49.11,319.00,0
49.28,320.00,0
49.46,321.00,0
49.64,321.00,0
49.81,320.00,0
49.99,324.00,0
50.17,323.00,0
50.34,329.00,0
50.52,322.00,0
50.70,323.00,0
50.87,325.00,0
51.05,318.00,0
51.23,325.00,0
51.40,303.00,0
51.58,301.00,0
51.76,291.00,0
51.93,298.00,0
52.11,299.00,0
52.29,310.00,0
52.46,298.00,0
52.64,311.00,0
52.82,305.00,0
52.99,304.00,0
53.17,587.00,0
53.35,306.00,0
53.52,80.00,0
53.70,286.00,0
53.88,62.00,0
54.05,62.00,0
54.23,66.00,0
54.41,56.00,0
54.58,62.00,0
54.76,56.00,0
54.94,62.00,0
55.11,56.00,0
55.29,60.00,0
55.47,62.00,0
55.64,62.00,0
55.82,55.00,0
56.00,62.00,0
56.17,56.00,0
56.35,59.00,0
56.53,62.00,0
56.70,57.00,0
56.88,59.00,0
57.06,58.00,0
57.23,62.00,0
57.41,60.00,0
57.59,59.00,0
57.76,55.00,0
57.94,60.00,0
58.12,53.00,0
58.29,56.00,0
58.47,55.00,0
58.65,55.00,0
58.82,54.00,0
59.00,58.00,0
59.18,53.00,0
59.35,55.00,0
59.53,55.00,0
59.71,56.00,0
59.88,51.00,0
60.06,55.00,0
60.24,54.00,0
60.41,55.00,0
60.59,56.00,0
60.77,54.00,0
60.94,57.00,0
61.12,55.00,0
61.30,57.00,0
61.47,58.00,0
61.65,55.00,0
61.83,57.00,0
62.00,51.00,0
62.18,56.00,0
62.36,51.00,0
62.53,54.00,0
62.71,56.00,0
62.89,55.00,0
63.06,53.00,0
63.24,54.00,0
63.41,56.00,0
63.59,55.00,0
63.77,51.00,0
63.94,54.00,0
64.12,54.00,0
64.30,53.00,0
64.47,52.00,0
64.65,54.00,0
64.83,56.00,0
65.00,45.00,0
65.18,45.00,0
65.36,53.00,0
65.53,55.00,0
65.71,51.00,0
65.89,52.00,0
66.06,52.00,0
66.24,50.00,0
66.42,53.00,0
66.59,52.00,0
66.77,49.00,0
66.95,51.00,0
67.12,50.00,0
67.30,49.00,0
67.48,51.00,0
67.65,50.00,0
67.83,47.00,0
68.01,52.00,0
68.18,53.00,0
68.36,51.00,0
68.54,52.00,0
68.71,53.00,0
68.89,51.00,0
69.07,52.00,0
69.24,52.00,0
69.42,51.00,0
69.60,51.00,0
69.77,51.00,0
69.95,49.00,0
70.13,53.00,0
70.30,49.00,0
70.48,45.00,0
70.66,48.00,0
70.83,50.00,0
71.01,53.00,0
71.19,53.00,0
71.36,51.00,0
71.54,54.00,0
71.72,51.00,0
71.89,54.00,0
72.07,50.00,0
72.25,52.00,0
72.42,57.00,0
72.60,54.00,0
72.78,53.00,0
72.95,54.00,0
73.13,53.00,0
73.31,53.00,0
73.48,53.00,0
73.66,53.00,0
73.84,53.00,0
74.01,52.00,0
74.19,55.00,0
74.37,52.00,0
74.54,54.00,0
74.72,53.00,0
74.90,50.00,0
75.07,53.00,0
75.25,53.00,0
75.43,54.00,0
75.60,54.00,0
75.78,52.00,0
75.96,51.00,0
76.13,54.00,0
76.31,48.00,0
76.49,53.00,0
76.66,51.00,0
76.84,53.00,0
77.02,53.00,0
77.19,52.00,0
77.37,54.00,0
77.55,51.00,0
77.72,51.00,0
77.90,53.00,0
78.08,51.00,0
78.25,51.00,0
78.43,50.00,0
78.61,57.00,0
78.78,49.00,0
78.96,50.00,0
79.14,52.00,0
79.31,49.00,0
79.49,52.00,0
79.67,54.00,0
79.84,53.00,0
80.02,49.00,0
80.20,51.00,0
80.37,54.00,0
80.55,45.00,0
80.73,51.00,0
80.90,53.00,0
81.08,49.00,0
81.26,50.00,0
81.43,49.00,0
81.61,50.00,0
81.79,48.00,0
81.96,52.00,0
82.14,48.00,0
82.32,49.00,0
82.49,49.00,0
82.67,51.00,0
82.85,49.00,0
83.02,49.00,0
83.20,51.00,0
83.38,49.00,0
83.55,50.00,0
83.73,50.00,0
83.91,51.00,0
84.08,49.00,0
84.26,49.00,0
84.44,53.00,0
84.61,50.00,0
84.79,53.00,0
84.97,47.00,0
85.14,53.00,0
85.32,53.00,0
85.50,52.00,0
85.67,53.00,0
85.85,50.00,0
86.03,50.00,0
86.20,51.00,0
86.38,50.00,0
86.56,49.00,0
86.73,51.00,0
86.91,52.00,0
87.09,49.00,0
87.26,57.00,0
87.44,52.00,0
87.62,52.00,0
87.79,49.00,0
87.97,52.00,0
88.15,52.00,0
88.32,50.00,0
88.50,50.00,0
88.67,52.00,0
88.85,50.00,0
89.03,53.00,0
89.20,51.00,0
89.38,53.00,0
