Theta,Distance,Z
0.00,1.00,0
0.18,10347.00,0
0.35,9969.00,0
0.53,9722.00,0
0.71,9660.00,0
0.88,10324.00,0
1.06,10213.00,0
1.24,9971.00,0
1.41,10328.00,0
1.59,9095.00,0
1.77,9911.00,0
1.94,1.00,0
2.12,9471.00,0
2.30,1.00,0
2.47,1.00,0
2.65,9658.00,0
2.83,9592.00,0
3.00,10108.00,0
3.18,1.00,0
3.36,1.00,0
3.53,1.00,0
3.71,9844.00,0
3.89,9463.00,0
4.06,10313.00,0
4.24,9876.00,0
4.42,9578.00,0
4.59,8945.00,0
4.77,1.00,0
4.95,1.00,0
5.12,9015.00,0
5.30,1.00,0
5.48,1.00,0
5.65,10218.00,0
5.83,9965.00,0
6.01,1.00,0
6.18,9838.00,0
6.36,1.00,0
6.54,10084.00,0
6.71,1.00,0
6.89,10353.00,0
7.07,8928.00,0
7.24,10326.00,0
7.42,10077.00,0
7.60,10074.00,0
7.77,9908.00,0
7.95,9901.00,0
8.13,8392.00,0
8.30,9925.00,0
8.48,1.00,0
8.66,10165.00,0
8.83,9809.00,0
9.01,1.00,0
9.19,1.00,0
9.36,9477.00,0
9.54,1.00,0
9.72,9685.00,0
9.89,9088.00,0
10.07,1.00,0
10.25,1.00,0
10.42,9901.00,0
10.60,9832.00,0
10.78,9508.00,0
10.95,10382.00,0
11.13,8648.00,0
11.31,9821.00,0
11.48,1.00,0
11.66,10344.00,0
11.84,8674.00,0
12.01,1.00,0
12.19,1.00,0
12.37,9487.00,0
12.54,10060.00,0
12.72,5.00,0
12.89,9602.00,0
13.07,1.00,0
13.25,1.00,0
13.42,1.00,0
13.60,9410.00,0
13.78,9732.00,0
13.95,5.00,0
14.13,9801.00,0
14.31,10105.00,0
14.48,9867.00,0
14.66,9842.00,0
14.84,1.00,0
15.01,1.00,0
15.19,10086.00,0
15.37,9608.00,0
15.54,1.00,0
15.72,1.00,0
15.90,9688.00,0
16.07,9892.00,0
16.25,10355.00,0
16.43,1.00,0
16.60,9702.00,0
16.78,10060.00,0
16.96,1.00,0
17.13,9973.00,0
17.31,5.00,0
17.49,9875.00,0
17.66,9147.00,0
17.84,1.00,0
18.02,1.00,0
18.19,9121.00,0
18.37,1.00,0
18.55,9713.00,0
18.72,10116.00,0
18.90,1.00,0
19.08,1.00,0
19.25,1.00,0
19.43,10080.00,0
19.61,10382.00,0
19.78,1.00,0
19.96,9838.00,0
20.14,10348.00,0
20.31,1.00,0
20.49,1.00,0
20.67,10303.00,0
20.84,9420.00,0
21.02,10117.00,0
21.20,9830.00,0
21.37,1.00,0
21.55,1.00,0
21.73,1.00,0
21.90,10199.00,0
22.08,10102.00,0
22.26,1.00,0
22.43,8945.00,0
22.61,1.00,0
22.79,10329.00,0
22.96,1.00,0
23.14,1.00,0
23.32,9441.00,0
23.49,10119.00,0
23.67,1.00,0
23.85,1.00,0
24.02,10145.00,0
24.20,9703.00,0
24.38,9841.00,0
24.55,9609.00,0
24.73,1.00,0
24.91,1.00,0
25.08,1.00,0
25.26,10359.00,0
25.44,10212.00,0
25.61,10310.00,0
25.79,8964.00,0
25.97,10304.00,0
26.14,1.00,0
26.32,10321.00,0
26.50,1.00,0
26.67,1.00,0
26.85,10368.00,0
27.03,10293.00,0
27.20,9844.00,0
27.38,9678.00,0
27.56,1.00,0
27.73,10353.00,0
27.91,1.00,0
