Theta,Distance,Z
259.0,0.0,0.0
264.9987,0.8325,0.0
265.995,1.6249,0.0
267.9885,2.479,0.0
265.9796,3.2961,0.0
269.9682,4.1467,0.0
266.9543,4.9393,0.0
265.9377,5.7563,0.0
265.9195,6.5454,0.0
265.8976,7.3807,0.0
267.8721,8.2778,0.0
267.8464,9.0726,0.0
265.8179,9.84,0.0
266.7849,10.7152,0.0
269.7491,11.636,0.0
267.7134,12.3909,0.0
266.6744,13.1825,0.0
266.6341,13.9737,0.0
266.5889,14.8113,0.0
266.541,15.6487,0.0
263.4991,16.2548,0.0
264.4447,17.1472,0.0
267.3826,18.1814,0.0
267.3274,18.9747,0.0
265.272,19.6666,0.0
265.2089,20.4998,0.0
266.1437,21.3667,0.0
265.0787,22.1195,0.0
264.0116,22.8659,0.0
264.9387,23.7384,0.0
265.8585,24.6629,0.0
265.7797,25.498,0.0
264.7077,26.1881,0.0
262.6345,26.8164,0.0
264.538,27.8507,0.0
264.4542,28.6355,0.0
265.3567,29.577,0.0
263.2755,30.1827,0.0
264.178,31.0805,0.0
265.0718,32.0303,0.0
263.9775,32.7398,0.0
263.8792,33.5229,0.0
263.7726,34.3517,0.0
263.6633,35.1802,0.0
263.5578,35.9623,0.0
261.4627,36.5135,0.0
261.3467,37.3348,0.0
263.2139,38.3987,0.0
263.0919,39.2255,0.0
262.9674,40.0518,0.0
261.8593,40.6784,0.0
260.7425,41.3442,0.0
262.5857,42.4826,0.0
262.4585,43.2615,0.0
260.3489,43.7543,0.0
261.1958,44.7409,0.0
262.0471,45.6874,0.0
261.9022,46.5104,0.0
259.7867,46.9771,0.0
260.6297,47.9286,0.0
261.4608,48.9311,0.0
260.3234,49.5652,0.0
259.1934,50.1474,0.0
259.0346,50.9614,0.0
258.8732,51.775,0.0
260.6785,52.9409,0.0
259.5315,53.5575,0.0
258.3832,54.1674,0.0
258.2214,54.9338,0.0
260.0024,56.167,0.0
258.8479,56.7693,0.0
260.6306,57.9713,0.0
258.4963,58.3495,0.0
260.2716,59.5624,0.0
260.0832,60.3797,0.0
258.9189,60.9673,0.0
259.7095,61.9673,0.0
258.5416,62.5478,0.0
258.3439,63.3597,0.0
261.0662,64.8492,0.0
257.952,64.9367,0.0
258.7157,65.9939,0.0
256.5823,66.2611,0.0
257.3403,67.32,0.0
257.1275,68.1281,0.0
254.9925,68.3727,0.0
257.6716,69.9595,0.0
258.4148,71.0337,0.0
256.276,71.2643,0.0
256.0509,72.0691,0.0
256.7849,73.1471,0.0
258.4886,74.4623,0.0
256.3333,74.7143,0.0
255.1382,75.2364,0.0
256.8304,76.5645,0.0
254.6738,76.7936,0.0
255.3878,77.885,0.0
253.2443,78.0533,0.0
255.862,79.7411,0.0
254.6564,80.244,0.0
254.4172,80.9992,0.0
251.3058,80.879,0.0
254.8542,82.9055,0.0
252.7071,83.037,0.0
252.4449,83.8305,0.0
254.0764,85.2594,0.0
254.7694,86.3338,0.0
255.443,87.4577,0.0
253.2769,87.606,0.0
251.1277,87.6977,0.0
251.794,88.8189,0.0
253.3977,90.2807,0.0
253.1287,91.0321,0.0
252.8415,91.8269,0.0
250.674,91.9322,0.0
250.4002,92.6755,0.0
251.0445,93.8118,0.0
251.6842,94.953,0.0
252.3359,96.0551,0.0
252.0329,96.8473,0.0
249.8628,96.9154,0.0
252.3679,98.7495,0.0
250.1962,98.8072,0.0
249.8845,99.5927,0.0
250.5158,100.7067,0.0
250.1982,101.4932,0.0
248.9526,101.8999,0.0
249.5735,103.0197,0.0
