X,Y,Z
140.0,0.0,0.0
139.9993,0.4398,0.0
139.9974,0.8552,0.0
139.994,1.295,0.0
139.9893,1.7348,0.0
139.9835,2.1502,0.0
139.976,2.5899,0.0
139.9672,3.0297,0.0
139.9576,3.4449,0.0
139.9461,3.8846,0.0
139.9332,4.3242,0.0
139.9198,4.7394,0.0
139.9042,5.179,0.0
139.8872,5.6185,0.0
139.8699,6.0335,0.0
139.8503,6.4729,0.0
139.8293,6.9122,0.0
139.8081,7.327,0.0
139.7844,7.7662,0.0
139.7593,8.2053,0.0
139.7344,8.62,0.0
139.7066,9.0589,0.0
139.6775,9.4978,0.0
139.6487,9.9122,0.0
139.6168,10.3508,0.0
139.5836,10.7894,0.0
139.551,11.2035,0.0
139.5151,11.6418,0.0
139.4779,12.0801,0.0
139.4414,12.4939,0.0
139.4015,12.9319,0.0
139.3601,13.3698,0.0
139.3199,13.7832,0.0
139.2759,14.2208,0.0
139.2305,14.6583,0.0
139.1864,15.0713,0.0
139.1384,15.5085,0.0
139.089,15.9456,0.0
139.041,16.3582,0.0
138.989,16.7949,0.0
138.9355,17.2315,0.0
138.8838,17.6436,0.0
138.8277,18.0798,0.0
138.7702,18.5159,0.0
138.7146,18.9276,0.0
138.6545,19.3632,0.0
138.593,19.7987,0.0
138.5336,20.2099,0.0
138.4694,20.645,0.0
138.4039,21.0799,0.0
138.3407,21.4905,0.0
138.2725,21.925,0.0
138.203,22.3592,0.0
138.136,22.7692,0.0
138.0638,23.2031,0.0
137.9902,23.6367,0.0
137.9195,24.046,0.0
137.8433,24.4792,0.0
137.7657,24.9121,0.0
137.6912,25.3207,0.0
137.6109,25.7532,0.0
137.5294,26.1854,0.0
137.4511,26.5933,0.0
137.3668,27.025,0.0
137.2813,27.4564,0.0
137.1992,27.8636,0.0
137.111,28.2945,0.0
34.2554,7.1813,0.0
136.9356,29.1315,0.0
136.8434,29.5616,0.0
136.7498,29.9913,0.0
136.6603,30.397,0.0
136.5641,30.8261,0.0
136.472,31.2312,0.0
136.3732,31.6598,0.0
136.2731,32.0881,0.0
136.1773,32.4922,0.0
136.0745,32.9199,0.0
135.9704,33.3472,0.0
