θ,r,z
0.00,140.0,0.0
0.18,140.0,0.0
0.35,140.0,0.0
0.53,140.0,0.0
0.71,140.0,0.0
0.88,140.0,0.0
1.06,140.0,0.0
1.24,140.0,0.0
1.41,140.0,0.0
1.59,140.0,0.0
1.77,140.0,0.0
1.94,140.0,0.0
2.12,140.0,0.0
2.30,140.0,0.0
2.47,140.0,0.0
2.65,140.0,0.0
2.83,140.0,0.0
3.00,140.0,0.0
3.18,140.0,0.0
3.36,140.0,0.0
3.53,140.0,0.0
3.71,140.0,0.0
3.89,140.0,0.0
4.06,140.0,0.0
4.24,140.0,0.0
4.42,140.0,0.0
4.59,140.0,0.0
4.77,140.0,0.0
4.95,140.0,0.0
5.12,140.0,0.0
5.30,140.0,0.0
5.48,140.0,0.0
5.65,140.0,0.0
5.83,140.0,0.0
6.01,140.0,0.0
6.18,140.0,0.0
6.36,140.0,0.0
6.54,140.0,0.0
6.71,140.0,0.0
6.89,140.0,0.0
7.07,140.0,0.0
7.24,140.0,0.0
7.42,140.0,0.0
7.60,140.0,0.0
7.77,140.0,0.0
7.95,140.0,0.0
8.13,140.0,0.0
8.30,140.0,0.0
8.48,140.0,0.0
8.66,140.0,0.0
8.83,140.0,0.0
9.01,140.0,0.0
9.19,140.0,0.0
9.36,140.0,0.0
9.54,140.0,0.0
9.72,140.0,0.0
9.89,140.0,0.0
10.07,140.0,0.0
10.25,140.0,0.0
10.42,140.0,0.0
10.60,140.0,0.0
10.78,140.0,0.0
10.95,140.0,0.0
11.13,140.0,0.0
11.31,140.0,0.0
11.48,140.0,0.0
11.66,140.0,0.0
11.84,35.0,0.0
12.01,140.0,0.0
12.19,140.0,0.0
12.37,140.0,0.0
12.54,140.0,0.0
12.72,140.0,0.0
12.89,140.0,0.0
13.07,140.0,0.0
13.25,140.0,0.0
13.42,140.0,0.0
13.60,140.0,0.0
13.78,140.0,0.0
13.95,140.0,0.0
14.13,140.0,0.0
14.31,140.0,0.0
14.48,140.0,0.0
14.66,140.0,0.0
14.84,140.0,0.0
15.01,140.0,0.0
15.19,140.0,0.0
15.37,140.0,0.0
15.54,140.0,0.0
15.72,140.0,0.0
15.90,140.0,0.0
16.07,140.0,0.0
16.25,140.0,0.0
16.43,140.0,0.0
16.60,140.0,0.0
16.78,140.0,0.0
16.96,140.0,0.0
17.13,140.0,0.0
17.31,140.0,0.0
17.49,140.0,0.0
17.66,140.0,0.0
17.84,140.0,0.0
18.02,123.0,0.0
18.19,124.0,0.0
18.37,132.0,0.0
18.55,125.0,0.0
18.72,137.0,0.0
18.90,120.0,0.0
19.08,124.0,0.0
19.25,115.0,0.0
19.43,129.0,0.0
19.61,112.0,0.0
19.78,124.0,0.0
19.96,123.0,0.0
20.14,127.0,0.0
20.31,124.0,0.0
20.49,104.0,0.0
20.67,121.0,0.0
20.84,122.0,0.0
21.02,120.0,0.0
21.20,117.0,0.0
21.37,121.0,0.0
21.55,117.0,0.0
21.73,106.0,0.0
21.90,112.0,0.0
22.08,106.0,0.0
22.26,109.0,0.0
22.43,114.0,0.0
22.61,111.0,0.0
22.79,126.0,0.0
22.96,123.0,0.0
23.14,108.0,0.0
23.32,133.0,0.0
23.49,111.0,0.0
23.67,107.0,0.0
23.85,118.0,0.0
24.02,114.0,0.0
24.20,108.0,0.0
24.38,120.0,0.0
24.55,112.0,0.0
24.73,120.0,0.0
24.91,114.0,0.0
25.08,110.0,0.0
25.26,96.0,0.0
25.44,112.0,0.0
25.61,120.0,0.0
25.79,126.0,0.0
25.97,127.0,0.0
26.14,113.0,0.0
26.32,105.0,0.0
26.50,115.0,0.0
26.67,120.0,0.0
26.85,116.0,0.0
27.03,112.0,0.0
27.20,111.0,0.0
27.38,106.0,0.0
27.56,119.0,0.0
27.73,122.0,0.0
27.91,130.0,0.0
28.09,116.0,0.0
28.26,109.0,0.0
28.44,119.0,0.0
28.62,123.0,0.0
28.79,121.0,0.0
28.97,104.0,0.0
29.15,123.0,0.0
29.32,104.0,0.0
29.50,116.0,0.0
29.68,110.0,0.0
29.85,135.0,0.0
30.03,137.0,0.0
30.21,119.0,0.0
30.38,129.0,0.0
30.56,120.0,0.0
30.74,116.0,0.0
30.91,110.0,0.0
31.09,104.0,0.0
31.27,114.0,0.0
31.44,110.0,0.0
31.62,141.0,0.0
31.80,106.0,0.0
31.97,120.0,0.0
32.15,122.0,0.0
32.33,124.0,0.0
32.50,116.0,0.0
32.68,117.0,0.0
32.86,110.0,0.0
33.03,116.0,0.0
33.21,117.0,0.0
33.39,116.0,0.0
33.56,116.0,0.0
33.74,109.0,0.0
33.92,114.0,0.0
34.09,108.0,0.0
34.27,117.0,0.0
34.45,123.0,0.0
34.62,126.0,0.0
34.80,130.0,0.0
34.98,117.0,0.0
35.15,114.0,0.0
35.33,109.0,0.0
35.51,115.0,0.0
35.68,121.0,0.0
35.86,120.0,0.0
36.04,123.0,0.0
36.21,118.0,0.0
36.39,111.0,0.0
36.57,117.0,0.0
36.74,112.0,0.0
36.92,124.0,0.0
37.10,108.0,0.0
37.27,95.0,0.0
37.45,105.0,0.0
37.63,118.0,0.0
37.80,115.0,0.0
37.98,114.0,0.0
38.15,112.0,0.0
38.33,115.0,0.0
38.51,93.0,0.0
38.68,108.0,0.0
38.86,128.0,0.0
39.04,118.0,0.0
39.21,111.0,0.0
39.39,117.0,0.0
39.57,123.0,0.0
39.74,121.0,0.0
39.92,109.0,0.0
40.10,111.0,0.0
40.27,121.0,0.0
40.45,128.0,0.0
40.63,114.0,0.0
40.80,105.0,0.0
40.98,95.0,0.0
41.16,128.0,0.0
41.33,104.0,0.0
41.51,109.0,0.0
41.69,125.0,0.0
41.86,118.0,0.0
42.04,117.0,0.0
42.22,120.0,0.0
42.39,115.0,0.0
42.57,119.0,0.0
42.75,108.0,0.0
42.92,113.0,0.0
43.10,112.0,0.0
43.28,109.0,0.0
43.45,101.0,0.0
43.63,104.0,0.0
43.81,114.0,0.0
43.98,126.0,0.0
44.16,118.0,0.0
44.34,127.0,0.0
44.51,116.0,0.0
44.69,119.0,0.0
44.87,134.0,0.0
45.04,130.0,0.0
45.22,127.0,0.0
45.40,124.0,0.0
45.57,121.0,0.0
45.75,121.0,0.0
45.93,127.0,0.0
46.10,124.0,0.0
46.28,120.0,0.0
46.46,120.0,0.0
46.63,124.0,0.0
46.81,123.0,0.0
46.99,125.0,0.0
47.16,128.0,0.0
47.34,128.0,0.0
47.52,126.0,0.0
47.69,129.0,0.0
47.87,125.0,0.0
48.05,123.0,0.0
48.22,125.0,0.0
48.40,135.0,0.0
48.58,112.0,0.0
48.75,135.0,0.0
48.93,131.0,0.0
49.11,122.0,0.0
49.28,132.0,0.0
49.46,128.0,0.0
49.64,134.0,0.0
49.81,118.0,0.0
49.99,122.0,0.0
50.17,125.0,0.0
50.34,122.0,0.0
50.52,118.0,0.0
50.70,122.0,0.0
50.87,134.0,0.0
51.05,114.0,0.0
51.23,130.0,0.0
51.40,126.0,0.0
51.58,124.0,0.0
51.76,123.0,0.0
51.93,118.0,0.0
52.11,122.0,0.0
52.29,121.0,0.0
52.46,139.0,0.0
52.64,147.0,0.0
52.82,131.0,0.0
52.99,133.0,0.0
53.17,120.0,0.0
53.35,122.0,0.0
53.52,125.0,0.0
53.70,117.0,0.0
53.88,142.0,0.0
54.05,128.0,0.0
54.23,113.0,0.0
54.41,120.0,0.0
54.58,134.0,0.0
54.76,131.0,0.0
54.94,130.0,0.0
55.11,135.0,0.0
55.29,131.0,0.0
55.47,127.0,0.0
55.64,134.0,0.0
55.82,130.0,0.0
56.00,124.0,0.0
56.17,132.0,0.0
56.35,132.0,0.0
56.53,123.0,0.0
56.70,142.0,0.0
56.88,136.0,0.0
57.06,140.0,0.0
57.23,138.0,0.0
57.41,131.0,0.0
57.59,130.0,0.0
57.76,136.0,0.0
57.94,141.0,0.0
58.12,124.0,0.0
58.29,136.0,0.0
58.47,134.0,0.0
58.65,126.0,0.0
58.82,131.0,0.0
59.00,131.0,0.0
59.18,139.0,0.0
59.35,130.0,0.0
59.53,138.0,0.0
59.71,132.0,0.0
59.88,132.0,0.0
60.06,145.0,0.0
60.24,144.0,0.0
60.41,132.0,0.0
60.59,145.0,0.0
60.77,123.0,0.0
60.94,146.0,0.0
