θ,r,z
0.00,1103.00,0
0.18,1115.00,0
0.35,1120.00,0
0.53,1118.00,0
0.71,1116.00,0
0.88,1109.00,0
1.06,1109.00,0
1.24,1111.00,0
1.41,1092.00,0
1.59,1100.00,0
1.77,1128.00,0
1.94,1124.00,0
2.12,980.00,0
2.30,978.00,0
2.47,977.00,0
2.65,981.00,0
2.83,990.00,0
3.00,983.00,0
3.18,978.00,0
3.36,983.00,0
3.53,978.00,0
3.71,969.00,0
3.89,973.00,0
4.06,970.00,0
4.24,982.00,0
4.42,965.00,0
4.59,980.00,0
4.77,843.00,0
4.95,830.00,0
5.12,836.00,0
5.30,837.00,0
5.48,851.00,0
5.65,827.00,0
5.83,851.00,0
6.01,836.00,0
6.18,840.00,0
6.36,821.00,0
6.54,836.00,0
6.71,838.00,0
6.89,830.00,0
7.07,843.00,0
7.24,828.00,0
7.42,691.00,0
7.60,699.00,0
7.77,705.00,0
7.95,691.00,0
8.13,695.00,0
8.30,692.00,0
8.48,695.00,0
8.66,699.00,0
8.83,699.00,0
9.01,696.00,0
9.19,691.00,0
9.36,680.00,0
9.54,689.00,0
9.72,688.00,0
9.89,699.00,0
10.07,533.00,0
10.25,552.00,0
10.42,563.00,0
10.60,565.00,0
10.78,547.00,0
10.95,558.00,0
11.13,556.00,0
11.31,552.00,0
11.48,549.00,0
11.66,551.00,0
11.84,1.00,0
12.01,551.00,0
12.19,547.00,0
12.37,549.00,0
12.54,551.00,0
12.72,412.00,0
12.89,406.00,0
13.07,403.00,0
13.25,402.00,0
13.42,401.00,0
13.60,395.00,0
13.78,414.00,0
13.95,410.00,0
14.13,410.00,0
14.31,406.00,0
14.48,405.00,0
14.66,416.00,0
14.84,402.00,0
15.01,405.00,0
15.19,408.00,0
15.37,266.00,0
15.54,273.00,0
15.72,245.00,0
15.90,265.00,0
16.07,267.00,0
16.25,264.00,0
16.43,263.00,0
16.60,280.00,0
16.78,267.00,0
16.96,262.00,0
17.13,256.00,0
17.31,261.00,0
17.49,274.00,0
17.66,256.00,0
17.84,267.00,0
18.02,123.00,0
18.19,124.00,0
18.37,132.00,0
18.55,125.00,0
18.72,137.00,0
18.90,120.00,0
19.08,124.00,0
19.25,115.00,0
19.43,129.00,0
19.61,112.00,0
19.78,124.00,0
19.96,123.00,0
20.14,127.00,0
20.31,124.00,0
20.49,104.00,0
20.67,121.00,0
20.84,122.00,0
21.02,120.00,0
21.20,117.00,0
21.37,121.00,0
21.55,117.00,0
21.73,106.00,0
21.90,112.00,0
22.08,106.00,0
22.26,109.00,0
22.43,114.00,0
22.61,111.00,0
22.79,126.00,0
22.96,123.00,0
23.14,108.00,0
23.32,133.00,0
23.49,111.00,0
23.67,107.00,0
23.85,118.00,0
24.02,114.00,0
24.20,108.00,0
24.38,120.00,0
24.55,112.00,0
24.73,120.00,0
24.91,114.00,0
25.08,110.00,0
25.26,96.00,0
25.44,112.00,0
25.61,120.00,0
25.79,126.00,0
25.97,127.00,0
26.14,113.00,0
26.32,105.00,0
26.50,115.00,0
26.67,120.00,0
26.85,116.00,0
27.03,112.00,0
27.20,111.00,0
27.38,106.00,0
27.56,119.00,0
27.73,122.00,0
27.91,130.00,0
28.09,116.00,0
28.26,109.00,0
28.44,119.00,0
28.62,123.00,0
28.79,121.00,0
28.97,104.00,0
29.15,123.00,0
29.32,104.00,0
29.50,116.00,0
29.68,110.00,0
29.85,135.00,0
30.03,137.00,0
30.21,119.00,0
30.38,129.00,0
30.56,120.00,0
30.74,116.00,0
30.91,110.00,0
31.09,104.00,0
31.27,114.00,0
31.44,110.00,0
31.62,141.00,0
31.80,106.00,0
31.97,120.00,0
32.15,122.00,0
32.33,124.00,0
32.50,116.00,0
32.68,117.00,0
32.86,110.00,0
33.03,116.00,0
33.21,117.00,0
33.39,116.00,0
33.56,116.00,0
33.74,109.00,0
33.92,114.00,0
34.09,108.00,0
34.27,117.00,0
34.45,123.00,0
34.62,126.00,0
34.80,130.00,0
34.98,117.00,0
35.15,114.00,0
35.33,109.00,0
35.51,115.00,0
35.68,121.00,0
35.86,120.00,0
36.04,123.00,0
36.21,118.00,0
36.39,111.00,0
36.57,117.00,0
36.74,112.00,0
36.92,124.00,0
37.10,108.00,0
37.27,95.00,0
37.45,105.00,0
37.63,118.00,0
37.80,115.00,0
37.98,114.00,0
38.15,112.00,0
38.33,115.00,0
38.51,93.00,0
38.68,108.00,0
38.86,128.00,0
39.04,118.00,0
39.21,111.00,0
39.39,117.00,0
39.57,123.00,0
39.74,121.00,0
39.92,109.00,0
40.10,111.00,0
40.27,121.00,0
40.45,128.00,0
40.63,114.00,0
40.80,105.00,0
40.98,95.00,0
41.16,128.00,0
41.33,104.00,0
41.51,109.00,0
41.69,125.00,0
41.86,118.00,0
42.04,117.00,0
42.22,120.00,0
42.39,115.00,0
42.57,119.00,0
42.75,108.00,0
42.92,113.00,0
43.10,112.00,0
43.28,109.00,0
43.45,101.00,0
43.63,104.00,0
43.81,114.00,0
43.98,126.00,0
44.16,118.00,0
44.34,127.00,0
44.51,116.00,0
44.69,119.00,0
44.87,134.00,0
45.04,130.00,0
45.22,127.00,0
45.40,124.00,0
45.57,121.00,0
45.75,121.00,0
45.93,127.00,0
46.10,124.00,0
46.28,120.00,0
46.46,120.00,0
46.63,124.00,0
46.81,123.00,0
46.99,125.00,0
47.16,128.00,0
47.34,128.00,0
47.52,126.00,0
47.69,129.00,0
47.87,125.00,0
48.05,123.00,0
48.22,125.00,0
48.40,135.00,0
48.58,112.00,0
48.75,135.00,0
48.93,131.00,0
49.11,122.00,0
49.28,132.00,0
49.46,128.00,0
49.64,134.00,0
49.81,118.00,0
49.99,122.00,0
50.17,125.00,0
50.34,122.00,0
50.52,118.00,0
50.70,122.00,0
50.87,134.00,0
51.05,114.00,0
51.23,130.00,0
51.40,126.00,0
51.58,124.00,0
51.76,123.00,0
51.93,118.00,0
52.11,122.00,0
52.29,121.00,0
52.46,139.00,0
52.64,147.00,0
52.82,131.00,0
52.99,133.00,0
53.17,120.00,0
53.35,122.00,0
53.52,125.00,0
53.70,117.00,0
53.88,142.00,0
54.05,128.00,0
54.23,113.00,0
54.41,120.00,0
54.58,134.00,0
54.76,131.00,0
54.94,130.00,0
55.11,135.00,0
55.29,131.00,0
55.47,127.00,0
55.64,134.00,0
55.82,130.00,0
56.00,124.00,0
56.17,132.00,0
56.35,132.00,0
56.53,123.00,0
56.70,142.00,0
56.88,136.00,0
57.06,140.00,0
57.23,138.00,0
57.41,131.00,0
57.59,130.00,0
57.76,136.00,0
57.94,141.00,0
58.12,124.00,0
58.29,136.00,0
58.47,134.00,0
58.65,126.00,0
58.82,131.00,0
59.00,131.00,0
59.18,139.00,0
59.35,130.00,0
59.53,138.00,0
59.71,132.00,0
59.88,132.00,0
60.06,145.00,0
60.24,144.00,0
60.41,132.00,0
60.59,145.00,0
60.77,123.00,0
60.94,146.00,0
61.12,136.00,0
61.30,135.00,0
61.47,132.00,0
61.65,132.00,0
61.83,126.00,0
62.00,136.00,0
62.18,152.00,0
62.36,145.00,0
62.53,147.00,0
62.71,134.00,0
62.89,157.00,0
63.06,130.00,0
63.24,129.00,0
63.41,129.00,0
63.59,132.00,0
63.77,121.00,0
63.94,138.00,0
64.12,125.00,0
64.30,131.00,0
64.47,125.00,0
64.65,127.00,0
64.83,131.00,0
65.00,133.00,0
65.18,130.00,0
65.36,125.00,0
65.53,126.00,0
65.71,128.00,0
65.89,128.00,0
66.06,138.00,0
66.24,1.00,0
66.42,135.00,0
66.59,113.00,0
66.77,130.00,0
66.95,119.00,0
67.12,123.00,0
67.30,136.00,0
67.48,144.00,0
67.65,1.00,0
67.83,108.00,0
68.01,123.00,0
68.18,117.00,0
68.36,118.00,0
68.54,1.00,0
68.71,117.00,0
68.89,116.00,0
69.07,133.00,0
69.24,1.00,0
69.42,98.00,0
69.60,121.00,0
69.77,92.00,0
69.95,127.00,0
70.13,1.00,0
70.30,111.00,0
70.48,130.00,0
70.66,102.00,0
70.83,83.00,0
71.01,131.00,0
71.19,93.00,0
71.36,150.00,0
71.54,1.00,0
71.72,1.00,0
71.89,94.00,0
72.07,131.00,0
72.25,1.00,0
72.42,92.00,0
72.60,101.00,0
72.78,1.00,0
72.95,97.00,0
73.13,1.00,0
73.31,108.00,0
73.48,116.00,0
