Theta,Distance,Z
0,1,0
0.18,10347,0
0.35,9969,0
0.53,9722,0
0.71,9660,0
0.88,10324,0
1.06,10213,0
1.24,9971,0
1.41,10328,0
1.59,9095,0
1.77,9911,0
1.94,1,0
2.12,9471,0
2.3,1,0
2.47,1,0
2.65,9658,0
2.83,9592,0
3,10108,0
3.18,1,0
3.36,1,0
3.53,1,0
3.71,9844,0
3.89,9463,0
4.06,10313,0
4.24,9876,0
4.42,9578,0
4.59,8945,0
4.77,1,0
4.95,1,0
5.12,9015,0
5.3,1,0
5.48,1,0
5.65,10218,0
5.83,9965,0
6.01,1,0
6.18,9838,0
6.36,1,0
6.54,10084,0
6.71,1,0
6.89,10353,0
7.07,8928,0
7.24,10326,0
7.42,10077,0
7.6,10074,0
7.77,9908,0
7.95,9901,0
8.13,8392,0
8.3,9925,0
8.48,1,0
8.66,10165,0
8.83,9809,0
9.01,1,0
9.19,1,0
9.36,9477,0
9.54,1,0
9.72,9685,0
9.89,9088,0
10.07,1,0
10.25,1,0
10.42,9901,0
10.6,9832,0
10.78,9508,0
10.95,10382,0
11.13,8648,0
11.31,9821,0
11.48,1,0
11.66,10344,0
11.84,8674,0
12.01,1,0
12.19,1,0
12.37,9487,0
12.54,10060,0
12.72,5,0
12.89,9602,0
13.07,1,0
13.25,1,0
13.42,1,0
13.6,9410,0
13.78,9732,0
13.95,5,0
14.13,9801,0
14.31,10105,0
14.48,9867,0
14.66,9842,0
14.84,1,0
15.01,1,0
15.19,10086,0
15.37,9608,0
15.54,1,0
15.72,1,0
15.9,9688,0
16.07,9892,0
16.25,10355,0
16.43,1,0
16.6,9702,0
16.78,10060,0
16.96,1,0
17.13,9973,0
17.31,5,0
17.49,9875,0
17.66,9147,0
17.84,1,0
18.02,1,0
18.19,9121,0
18.37,1,0
18.55,9713,0
18.72,10116,0
18.9,1,0
19.08,1,0
19.25,1,0
19.43,10080,0
19.61,10382,0
19.78,1,0
19.96,9838,0
20.14,10348,0
20.31,1,0
20.49,1,0
20.67,10303,0
20.84,9420,0
21.02,10117,0
21.2,9830,0
21.37,1,0
21.55,1,0
21.73,1,0
21.9,10199,0
22.08,10102,0
22.26,1,0
22.43,8945,0
22.61,1,0
22.79,10329,0
22.96,1,0
23.14,1,0
23.32,9441,0
23.49,10119,0
23.67,1,0
23.85,1,0
24.02,10145,0
24.2,9703,0
24.38,9841,0
24.55,9609,0
24.73,1,0
24.91,1,0
25.08,1,0
25.26,10359,0
25.44,10212,0
25.61,10310,0
25.79,8964,0
25.97,10304,0
26.14,1,0
26.32,10321,0
